ID,APP_DBM_ID,Slug,Item,unit_of_measure,Type,Part,Price
151,151,44103105-HP-B48,"INK CART, HP C9403A (HP72) 130ml Matte Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3016
152,152,44103105-HP-B17,"INK CART, HP CC640WA, (HP60),  Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,769.6
153,153,44103105-HP-T17,"INK CART, HP CC643WA, (HP60), Tri-color",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,915.2
154,154,44103105-HP-B35,"INK CART, HP CD887AA, (HP703), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,366.08
155,155,44103105-HP-T35,"INK CART, HP CD888AA, (HP703), Tri-color",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,366.08
156,156,44103105-HX-C40,"INK CART, HP CD972AA, (HP 920XL), Cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,641.68
157,157,44103105-HX-M40,"INK CART, HP CD973AA, (HP 920XL), Magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,641.68
158,158,44103105-HX-Y40,"INK CART, HP CD974AA, (HP 920XL), Yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,641.68
159,159,44103105-HX-B40,"INK CART, HP CD975AA, (HP 920XL), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1269.84
160,160,44103105-HP-B20,"INK CART, HP CH561WA, (HP61), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,656.24
161,161,44103105-HP-T20,"INK CART, HP CH562WA, (HP61), Tricolor",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,821.6
162,162,44103105-HP-B49,"INK CART, HP CH565A (HP82) Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1944.8
163,163,44103105-HP-C49,"INK CART, HP CH566A (HP82) Cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1539.2
164,164,44103105-HP-M49,"INK CART, HP CH567A (HP82) Magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1539.2
165,165,44103105-HP-Y49,"INK CART, HP CH568A (HP82) Yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1539.2
166,166,44103105-HX-B43,"INK CART, HP CN045AA, (HP950XL), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1570.4
167,167,44103105-HX-C43,"INK CART, HP CN046AA, (HP951XL), Cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1165.84
168,168,44103105-HX-M43,"INK CART, HP CN047AA, (HP951XL), Magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1165.84
169,169,44103105-HX-Y43,"INK CART, HP CN048AA, (HP951XL). Yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1165.84
170,170,44103105-HP-B36,"INK CART, HP CN692AA, (HP704), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,366.08
171,171,44103105-HP-T36,"INK CART, HP CN693AA, (HP704), Tri-color",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,366.08
172,172,44103105-HP-B33,"INK CART, HP CZ107AA, (HP678), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,366.08
173,173,44103105-HP-T33,"INK CART, HP CZ108AA, (HP678), Tricolor",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,366.08
174,174,44103105-HP-B42,"INK CART, HP CZ121A (HP685A), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,366.08
175,175,44103105-HP-C33,"INK CART, HP CZ122A (HP685A), Cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,249.6
176,176,44103105-HP-M33,"INK CART, HP CZ123A (HP685A), Magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,249.6
177,177,44103105-HP-Y33,"INK CART, HP CZ124A (HP685A), Yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,249.6
178,178,44103105-HP-T43,"INK CART, HP F6V26AA (HP680) Tri-color",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,405.6
179,179,44103105-HP-B43,"INK CART, HP F6V27AA (HP680) Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,405.6
180,180,44103105-HP-C50,"INK CART, HP L0S51AA (HP955) Cyan Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,995.75
181,181,44103105-HP-M50,"INK CART, HP L0S54AA (HP955) Magenta Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,995.75
182,182,44103105-HP-Y50,"INK CART, HP L0S57AA (HP955) Yellow Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,995.75
183,183,44103105-HP-B50,"INK CART, HP L0S60AA (HP955) Black Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,4956.6
184,184,44103105-HX-C48,"INK CART, HP L0S63AA (HP955XL) Cyan Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1212.64
185,185,44103105-HX-M48,"INK CART, HP L0S66AA (HP955XL) Magenta Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1212.64
186,186,44103105-HX-Y48,"INK CART, HP L0S69AA (HP955XL) Yellow Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1212.64
187,187,44103105-HX-B48,"INK CART, HP L0S72AA (HP955XL) Black Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1644.24
188,188,44103105-HP-C51,"INK CART, HP T6L89AA (HP905) Cyan Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,453.6168
189,189,44103105-HP-M51,"INK CART, HP T6L93AA (HP905) Magenta Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,453.6168
190,190,44103105-HP-Y51,"INK CART, HP T6L97AA (HP905) Yellow Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,453.6168
191,191,44103105-HP-B51,"INK CART, HP T6M01AA (HP905) Black Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,741.28
192,192,44103105-HX-C49,"INK CART, HP T6M05AA (HP905XL) Cyan Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
193,193,44103105-HX-M49,"INK CART, HP T6M09AA (HP905XL) Magenta Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
194,194,44103105-HX-Y49,"INK CART, HP T6M13AA (HP905XL) Yellow Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
195,195,44103105-HX-B49,"INK CART, HP T6M17AA (HP905XL) Black Original",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
196,196,44103112-EP-R05,"RIBBON CART, EPSON C13S015516 (#8750), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,77.43
197,197,44103112-EP-R07,"RIBBON CART, EPSON C13S015531 (S015086), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,716.44
198,198,44103112-EP-R13,"RIBBON CART, EPSON C13S015632, Black, forLX-310",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,77.43
199,199,44103103-BR-B03,"TONER CART,  BROTHER TN-2025, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2685.28
200,200,44103103-BR-B04,"TONER CART,  BROTHER TN-2130, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1892.8
201,201,44103103-BR-B05,"TONER CART,  BROTHER TN-2150, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2685.28
202,202,44103103-BR-B09,"TONER CART,  BROTHER TN-3320, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3567.2
203,203,44103103-BR-B11,"TONER CART,  BROTHER TN-3350, Black, for HL5450DN (CU Printer)",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,5002.4
204,204,44103103-HP-B12,"TONER CART, HP CB435A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3380
205,205,44103103-HP-B14,"TONER CART, HP CB540A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3337.36
206,206,44103103-HP-B18,"TONER CART, HP CE255A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7332
207,207,44103103-HP-B21,"TONER CART, HP CE278A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3952
208,208,44103103-HP-B22,"TONER CART, HP CE285A (HP85A), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3432
209,209,44103103-HP-B23,"TONER CART, HP CE310A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2360.8
210,210,44103103-HP-C23,"TONER CART, HP CE311A, Cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2542.8
211,211,44103103-HP-Y23,"TONER CART, HP CE312A, Yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2542.8
212,212,44103103-HP-M23,"TONER CART, HP CE313A, Magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2542.8
213,213,44103103-HP-B24,"TONER CART, HP CE320A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2916.16
214,214,44103103-HP-C24,"TONER CART, HP CE321A, Cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3072.16
215,215,44103103-HP-Y24,"TONER CART, HP CE322A, Yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3072.16
216,216,44103103-HP-M24,"TONER CART, HP CE323A, Magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3072.16
217,217,44103103-HP-B25,"TONER CART, HP CE390A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7856.16
218,218,44103103-HP-B26,"TONER CART, HP CE400A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,6900.4
219,219,44103103-HP-C26,"TONER CART, HP CE401A, Cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,10193.04
220,220,44103103-HP-Y26,"TONER CART, HP CE402A, Yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,10193.04
221,221,44103103-HP-M26,"TONER CART, HP CE403A, Magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,10193.04
222,222,44103103-HP-B27,"TONER CART, HP CE410A, (HP305), Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,4201.6
223,223,44103103-HP-C27,"TONER CART, HP CE411A, (HP305), Cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,6011.2
224,224,44103103-HP-Y27,"TONER CART, HP CE412A, (HP305), Yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,6011.2
225,225,44103103-HP-M27,"TONER CART, HP CE413A, (HP305), Magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,6011.2
226,226,44103103-HP-B28,"TONER CART, HP CE505A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,4466.8
227,227,44103103-HX-B28,"TONER CART, HP CE505X, Black, high cap",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7213.44
228,228,44103103-HP-B52,"TONER CART, HP CF217A (HP17A) Black LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3044.28
229,229,44103103-HP-B53,"TONER CART, HP CF226A (HP26A) Black LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,5787.6
230,230,44103103-HX-B50,"TONER CART, HP CF226XC (HP26XC) Black LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
231,231,44103103-HP-B55,"TONER CART, HP CF280A, LaserJet Pro M401/M425 2.7K Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,5200
232,232,44103103-HP-B51,"TONER CART, HP CF280XC",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7112.56
233,233,44103103-HP-B56,"TONER CART, HP CF281A (HP81A) Black LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,8606
234,234,44103103-HP-B57,"TONER CART, HP CF283A (HP83A) LaserJet  Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3241.7
235,235,44103103-HX-B51,"TONER CART, HP CF283XC (HP83X) Blk Contract LJ",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,4056
236,236,44103103-HP-B58,"TONER CART, HP CF287A (HP87) black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,10051
237,237,44103103-HP-B59,"TONER CART, HP CF310AC (HP826) black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
238,238,44103103-HP-C59,"TONER CART, HP CF311AC (HP826) cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
239,239,44103103-HP-Y59,"TONER CART, HP CF312AC (HP826) yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
240,240,44103103-HP-M59,"TONER CART, HP CF313AC (HP826) magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
241,241,44103103-HX-B52,"TONER CART, HP CF325XC (HP25X) Black LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,13156
242,242,44103103-HP-B60,"TONER CART, HP CF350A Black LJ",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2901.6
243,243,44103103-HP-C60,"TONER CART, HP CF351A Cyan LJ",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2953.6
244,244,44103103-HP-Y60,"TONER CART, HP CF352A Yellow LJ",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2953.6
245,245,44103103-HP-M60,"TONER CART, HP CF353A Magenta LJ",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2953.6
246,246,44103103-HP-B61,"TONER CART, HP CF360A (HP508A) Black LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7056.4
247,247,44103103-HX-B53,"TONER CART, HP CF360XC (HP508X) Black Contract LJ",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
248,248,44103103-HP-C61,"TONER CART, HP CF361A (HP508A) Cyan LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,8846.24
249,249,44103103-HX-C53,"TONER CART, HP CF361XC (HP508X) Cyan Contract LJ",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
250,250,44103103-HP-Y61,"TONER CART, HP CF362A (HP508A) Yellow LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,8846.24
251,251,44103103-HX-Y53,"TONER CART, HP CF362XC (HP508X) Yellow Contract LJ",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
252,252,44103103-HP-M61,"TONER CART, HP CF363A (HP508A) Magenta LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,8846.24
253,253,44103103-HX-M53,"TONER CART, HP CF363XC (HP508X) Magenta Contract LJ",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,0
254,254,44103103-HP-B62,"TONER CART, HP CF400A (HP201A) Black LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3429.78
255,255,44103103-HP-C62,"TONER CART, HP CF401A (HP201A) Cyan LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,4043.83
256,256,44103103-HP-Y62,"TONER CART, HP CF402A (HP201A) Yellow LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,4043.83
257,257,44103103-HP-M62,"TONER CART, HP CF403A (HP201A) Magenta LaserJet",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,4043.83
258,258,44103103-HP-B63,"TONER CART, HP CF410A (HP410A) black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,4440.8
259,259,44103103-HX-B54,"TONER CART, HP CF410XC (HP410XC) black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7441.2
260,260,44103103-HP-C63,"TONER CART, HP CF411A (HP410A) cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,5616
261,261,44103103-HX-C54,"TONER CART, HP CF411XC (HP410XC) cyan",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7472.4
262,262,44103103-HP-Y63,"TONER CART, HP CF412A (HP410A) yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,5616
263,263,44103103-HX-Y54,"TONER CART, HP CF412XC (HP410XC) yellow",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7472.4
264,264,44103103-HP-M63,"TONER CART, HP CF413A (HP410A) magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,5616
265,265,44103103-HX-M54,"TONER CART, HP CF413XC (HP410XC) magenta",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7472.4
266,266,44103103-HP-B34,"TONER CART, HP Q2612A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3900
267,267,44103103-HP-B39,"TONER CART, HP Q5942A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7482.8
268,268,44103103-HP-B48,"TONER CART, HP Q7553A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3972.8
269,269,44103103-LX-B03,"TONER CART, LEXMARK E360H11P, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,8725.6
270,270,44103103-LX-B05,"TONER CART, LEXMARK T650A11P, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,9490
271,271,44103103-SA-B06,"TONER CART, SAMSUNG MLT-D101S, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3406
272,272,44103103-SA-B07,"TONER CART, SAMSUNG MLT-D103S, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2350.4
273,273,44103103-SA-B08,"TONER CART, SAMSUNG MLT-D104S, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2454.4
274,274,44103103-SA-B09,"TONER CART, SAMSUNG MLT-D105L, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3380
275,275,44103103-SA-B14,"TONER CART, SAMSUNG MLT-D108S, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,2875.58
276,276,44103103-SA-B21,"TONER CART, SAMSUNG MLT-D203E, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7259.2
277,277,44103103-SA-B18,"TONER CART, SAMSUNG MLT-D203L, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3458
278,278,44103103-SA-B20,"TONER CART, SAMSUNG MLT-D203U, black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,6442.8
279,279,44103103-SA-B12,"TONER CART, SAMSUNG MLT-D205E, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,7321.14
280,280,44103103-SA-B05,"TONER CART, SAMSUNG MLT-D205L, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,3962.24
281,281,44103103-SA-B10,"TONER CART, SAMSUNG SCX-D6555A, Black",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,4066.4
282,282,44103103-BR-B15,"TONER CARTRIDGE, BROTHER TN-3478, Blackf, for printer HL-6400DW (12,000 pages)",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,6370
283,283,44103103-CA-B00,"TONER CARTRIDGE, CANON 324 II, for  printer LBP6780x",cart,Printer or Facsimile or Photocopier Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,13399.36
284,284,45121517-DO-C01,"DOCUMENT CAMERA, 3.2M pixels",unit,Audio and Visual Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,28860
285,285,45111609-MM-P01,"MULTIMEDIA PROJECTOR, 4000 min ANSI Lumens",unit,Audio and Visual Equipment and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,17472
286,286,55121905-PH-F01,"PHILIPPINE NATIONAL FLAG, 100% polyester",piece,Printed Publications,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,284.84
287,287,55101524-RA-H01,"HANDBOOK (RA 9184), 7th Edition",book,Printed Publications,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,29.12
288,288,46191601-FE-M01,"FIRE EXTINGUISHER, DRY CHEMICAL, 4.5kgs",unit,Fire Fighting Equipment,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1144
289,289,46191601-FE-H01,"FIRE EXTINGUISHER, PURE HCFC 123, 4.5kgs",unit,Fire Fighting Equipment,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,5613.25
290,290,52161535-DV-R01,"DIGITAL VOICE RECORDER, memory: 4GB (expandable)",unit,Consumer Electronics,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,6415.64
291,291,56101504-CM-B01,"CHAIR, monobloc, beige, with backrest, w/o armrest",piece,Furniture and Furnishings,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,303.68
292,292,56101504-CM-W01,"CHAIR,monobloc, white, with backrest, w/o armrest",piece,Furniture and Furnishings,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,301.6
293,293,56101519-TM-S01,"TABLE, MONOBLOC, WHITE, 889 x 889mm (35"" x 35"")min",unit,Furniture and Furnishings,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1336.4
294,294,56101519-TM-S02,"TABLE, MONOBLOC, BEIGE, 889 x 889mm (35"" x 35"")min",unit,Furniture and Furnishings,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1315.6
295,295,60121413-CB-P01,"CLEARBOOK, 20 transparent pockets, for A4 size",piece,Arts and Crafts Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,39.78
296,296,60121413-CB-P02,"CLEARBOOK, 20 transparent pockets, for LEGAL size",piece,Arts and Crafts Equipment and Accessories and Supplies,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,42.38
